brand,PrintvsDigi,sub_type,pricecat,flow_type,flow_direction,exog,exog_pricecat,exog_flow,exog_lag,model,comment
DS,Digi,WEDI,PROMO,Regular,Inflow,campaigns,PROMO,inflow,0,statsmodels,
DS,Digi,WEDI,PROMO,Regular,Outflow,other_flow,PROMO,newcheck,0,statsmodels,
DS,Digi,WEDI,PROMO,Transformers,Inflow,,,,,statsmodels,
DS,Digi,WEDI,PROMO,Transformers,Outflow,other_flow,PROMO,newcheck,2,GLS,
DS,Digi,WEDI,PROMO,Switchers,Inflow,,,,,statsmodels,
DS,Digi,WEDI,PROMO,Switchers,Outflow,other_flow,PROMO,newcheck,0,statsmodels,Why here no shift and we have shift with transformers?
DS,Digi,WEDI,STUNT,Regular,Inflow,,,,,Excluded,
DS,Digi,WEDI,STUNT,Regular,Outflow,,,,,Excluded,
DS,Digi,WEDI,STUNT,Transformers,Inflow,,,,,Excluded,
DS,Digi,WEDI,STUNT,Transformers,Outflow,,,,,Excluded,
DS,Digi,WEDI,STUNT,Switchers,Inflow,,,,,Excluded,
DS,Digi,WEDI,STUNT,Switchers,Outflow,,,,,Excluded,
DS,Digi,WEDI,TIE_IN,Regular,Inflow,,,,,Excluded,
DS,Digi,WEDI,TIE_IN,Regular,Outflow,,,,,Excluded,
DS,Digi,WEDI,TIE_IN,Transformers,Inflow,,,,,Excluded,
DS,Digi,WEDI,TIE_IN,Transformers,Outflow,,,,,Excluded,
DS,Digi,WEDI,TIE_IN,Switchers,Inflow,,,,,Excluded,
DS,Digi,WEDI,TIE_IN,Switchers,Outflow,,,,,Excluded,
DS,Print,Weekend,BASE,Regular,Inflow,,,,,,
DS,Print,Weekend,BASE,Regular,Outflow,,,,,,
DS,Print,Weekend,BASE,Transformers,Inflow,,,,,,
DS,Print,Weekend,BASE,Transformers,Outflow,,,,,,
DS,Print,Weekend,BASE,Switchers,Inflow,,,,,,
DS,Print,Weekend,BASE,Switchers,Outflow,,,,,,
DS,Print,Weekend,BASE,Active,Total,,,,,pm,
DS,Print,Weekend,PROMO,Regular,Inflow,,,,,,
DS,Print,Weekend,PROMO,Regular,Outflow,,,,,,
DS,Print,Weekend,PROMO,Transformers,Inflow,,,,,,
DS,Print,Weekend,PROMO,Transformers,Outflow,,,,,,
DS,Print,Weekend,PROMO,Switchers,Inflow,,,,,,
DS,Print,Weekend,PROMO,Switchers,Outflow,,,,,,
DS,Print,Weekend,PROMO,Active,Total,,,,,pm,
DS,Print,Weekend,STUNT,Regular,Inflow,,,,,Excluded,
DS,Print,Weekend,STUNT,Regular,Outflow,,,,,Excluded,
DS,Print,Weekend,STUNT,Transformers,Inflow,,,,,Excluded,
DS,Print,Weekend,STUNT,Transformers,Outflow,,,,,Excluded,
DS,Print,Weekend,STUNT,Switchers,Inflow,,,,,Excluded,
DS,Print,Weekend,STUNT,Switchers,Outflow,,,,,Excluded,
NB,Print,Weekend,BASE,Regular,Inflow,,,,,,
NB,Print,Weekend,BASE,Regular,Outflow,,,,,,
NB,Print,Weekend,BASE,Transformers,Inflow,,,,,,
NB,Print,Weekend,BASE,Transformers,Outflow,,,,,,
NB,Print,Weekend,BASE,Switchers,Inflow,,,,,,
NB,Print,Weekend,BASE,Switchers,Outflow,,,,,,
NB,Print,Weekend,BASE,Active,Total,,,,,pm,
NB,Print,Weekend,PROMO,Regular,Inflow,,,,,,
NB,Print,Weekend,PROMO,Regular,Outflow,,,,,,
NB,Print,Weekend,PROMO,Transformers,Inflow,,,,,,
NB,Print,Weekend,PROMO,Transformers,Outflow,,,,,,
NB,Print,Weekend,PROMO,Switchers,Inflow,,,,,,
NB,Print,Weekend,PROMO,Switchers,Outflow,,,,,,
NB,Print,Weekend,PROMO,Active,Total,,,,,pm,
DS,Digi,ZADI,BASE,Regular,Inflow,campaigns,BASE,inflow,0,statsmodels,
DS,Digi,ZADI,BASE,Regular,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Digi,ZADI,BASE,Transformers,Inflow,other_flow,PROMO,newcheck,2,GLS,
DS,Digi,ZADI,BASE,Transformers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Digi,ZADI,BASE,Switchers,Inflow,,,,,statsmodels,
DS,Digi,ZADI,BASE,Switchers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Digi,ZADI,PROMO,Regular,Inflow,campaigns,PROMO,inflow,0,statsmodels,
DS,Digi,ZADI,PROMO,Regular,Outflow,other_flow,PROMO,newcheck,0,statsmodels,
DS,Digi,ZADI,PROMO,Transformers,Inflow,other_flow,STUNT,newcheck,2,GLS,
DS,Digi,ZADI,PROMO,Transformers,Outflow,other_flow,PROMO,newcheck,2,GLS,
DS,Digi,ZADI,PROMO,Switchers,Inflow,,,,,statsmodels,
DS,Digi,ZADI,PROMO,Switchers,Outflow,other_flow,PROMO,newcheck,0,statsmodels,
DS,Digi,ZADI,STUDENTS,Regular,Inflow,,,,,statsmodels,
DS,Digi,ZADI,STUDENTS,Regular,Outflow,other_flow,STUDENTS,newcheck,9,GLS,
DS,Digi,ZADI,STUDENTS,Transformers,Inflow,,,,,Excluded,
DS,Digi,ZADI,STUDENTS,Transformers,Outflow,,,,,Excluded,
DS,Digi,ZADI,STUDENTS,Switchers,Inflow,,,,,Excluded,
DS,Digi,ZADI,STUDENTS,Switchers,Outflow,,,,,Excluded,
DS,Digi,ZADI,STUNT,Regular,Inflow,campaigns,STUNT,inflow,,statsmodels,
DS,Digi,ZADI,STUNT,Regular,Outflow,other_flow,STUNT,newcheck,2,GLS,
DS,Digi,ZADI,STUNT,Transformers,Inflow,,,,,statsmodels,
DS,Digi,ZADI,STUNT,Transformers,Outflow,other_flow,STUNT,newcheck,2,GLS,
DS,Digi,ZADI,STUNT,Switchers,Inflow,,,,,statsmodels,
DS,Digi,ZADI,STUNT,Switchers,Outflow,,,,,statsmodels,
DS,Digi,ZADI,TIE_IN,Regular,Inflow,,,,,statsmodels,
DS,Digi,ZADI,TIE_IN,Regular,Outflow,,,,,statsmodels,
DS,Digi,ZADI,TIE_IN,Transformers,Inflow,,,,,Excluded,
DS,Digi,ZADI,TIE_IN,Transformers,Outflow,,,,,Excluded,
DS,Digi,ZADI,TIE_IN,Switchers,Inflow,,,,,Excluded,
DS,Digi,ZADI,TIE_IN,Switchers,Outflow,,,,,Excluded,
NB,Digi,ZADI,BASE,Regular,Inflow,campaigns,BASE,inflow,0,statsmodels,
NB,Digi,ZADI,BASE,Regular,Outflow,other_flow,BASE,newcheck,0,statsmodels,
NB,Digi,ZADI,BASE,Transformers,Inflow,other_flow,PROMO,newcheck,2,GLS,
NB,Digi,ZADI,BASE,Transformers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
NB,Digi,ZADI,BASE,Switchers,Inflow,,,,,statsmodels,
NB,Digi,ZADI,BASE,Switchers,Outflow,,,,,pm,
NB,Digi,ZADI,PROMO,Regular,Inflow,campaigns,PROMO,inflow,0,statsmodels,
NB,Digi,ZADI,PROMO,Regular,Outflow,other_flow,PROMO,newcheck,0,pm,
NB,Digi,ZADI,PROMO,Transformers,Inflow,other_flow,STUNT,newcheck,2,GLS,
NB,Digi,ZADI,PROMO,Transformers,Outflow,other_flow,PROMO,newcheck,2,GLS,
NB,Digi,ZADI,PROMO,Switchers,Inflow,,,,,statsmodels,
NB,Digi,ZADI,PROMO,Switchers,Outflow,other_flow,PROMO,newcheck,0,statsmodels,
NB,Digi,ZADI,STUDENTS,Regular,Inflow,,,,,statsmodels,
NB,Digi,ZADI,STUDENTS,Regular,Outflow,other_flow,STUDENTS,newcheck,9,GLS,
NB,Digi,ZADI,STUDENTS,Transformers,Inflow,,,,,Excluded,
NB,Digi,ZADI,STUDENTS,Transformers,Outflow,,,,,Excluded,
NB,Digi,ZADI,STUDENTS,Switchers,Inflow,,,,,statsmodels,
NB,Digi,ZADI,STUDENTS,Switchers,Outflow,,,,,Excluded,
NB,Digi,ZADI,STUNT,Regular,Inflow,campaigns,STUNT,inflow,,statsmodels,
NB,Digi,ZADI,STUNT,Regular,Outflow,other_flow,STUNT,newcheck,2,GLS,
NB,Digi,ZADI,STUNT,Transformers,Inflow,,,,,statsmodels,
NB,Digi,ZADI,STUNT,Transformers,Outflow,other_flow,STUNT,newcheck,2,GLS,
NB,Digi,ZADI,STUNT,Switchers,Inflow,,,,,statsmodels,
NB,Digi,ZADI,STUNT,Switchers,Outflow,,,,,statsmodels,
NB,Digi,ZADI,TIE_IN,Regular,Inflow,,,,,statsmodels,
NB,Digi,ZADI,TIE_IN,Regular,Outflow,other_flow,TIE_IN,newcheck,25,statsmodels,
NB,Digi,ZADI,TIE_IN,Transformers,Inflow,,,,,statsmodels,
NB,Digi,ZADI,TIE_IN,Transformers,Outflow,other_flow,TIE_IN,newcheck,25,statsmodels,
NB,Digi,ZADI,TIE_IN,Switchers,Inflow,,,,,Excluded,
NB,Digi,ZADI,TIE_IN,Switchers,Outflow,,,,,statsmodels,
